Date,Instagram reach
2022-04-01,7620
2022-04-02,12859
2022-04-03,16008
2022-04-04,24349
2022-04-05,20532
2022-04-06,19408
2022-04-07,14941
2022-04-08,17263
2022-04-09,20224
2022-04-10,30471
2022-04-11,39774
2022-04-12,43550
2022-04-13,42342
2022-04-14,55477
2022-04-15,54391
2022-04-16,44108
2022-04-17,49089
2022-04-18,42790
2022-04-19,49940
2022-04-20,45763
2022-04-21,38457
2022-04-22,45197
2022-04-23,42367
2022-04-24,36076
2022-04-25,34467
2022-04-26,36772
2022-04-27,35349
2022-04-28,27926
2022-04-29,26184
2022-04-30,26410
2022-05-01,32637
2022-05-02,42204
2022-05-03,47632
2022-05-04,35793
2022-05-05,35945
2022-05-06,35574
2022-05-07,26940
2022-05-08,27495
2022-05-09,19660
2022-05-10,24138
2022-05-11,23391
2022-05-12,16748
2022-05-13,17489
2022-05-14,18171
2022-05-15,29682
2022-05-16,33085
2022-05-17,50797
2022-05-18,54392
2022-05-19,35649
2022-05-20,33654
2022-05-21,46443
2022-05-22,50465
2022-05-23,51263
2022-05-24,55647
2022-05-25,68448
2022-05-26,73815
2022-05-27,74077
2022-05-28,67922
2022-05-29,80600
2022-05-30,73835
2022-05-31,83221
2022-06-01,77190
2022-06-02,83630
2022-06-03,65133
2022-06-04,72761
2022-06-05,67778
2022-06-06,54560
2022-06-07,32643
2022-06-08,24889
2022-06-09,27046
2022-06-10,55433
2022-06-11,64168
2022-06-12,69366
2022-06-13,59358
2022-06-14,46011
2022-06-15,38286
2022-06-16,89665
2022-06-17,133807
2022-06-18,103309
2022-06-19,112461
2022-06-20,114870
2022-06-21,115782
2022-06-22,110319
2022-06-23,51336
2022-06-24,54666
2022-06-25,62637
2022-06-26,66525
2022-06-27,61001
2022-06-28,73659
2022-06-29,59505
2022-06-30,60504
2022-07-01,69593
2022-07-02,76763
2022-07-03,63917
2022-07-04,60591
2022-07-05,66350
2022-07-06,62711
2022-07-07,70608
2022-07-08,61222
2022-07-09,51758
2022-07-10,62099
2022-07-11,69686
2022-07-12,78896
2022-07-13,68331
2022-07-14,59660
2022-07-15,58746
2022-07-16,59599
2022-07-17,110544
2022-07-18,117070
2022-07-19,122530
2022-07-20,81669
2022-07-21,74793
2022-07-22,82299
2022-07-23,81336
2022-07-24,70291
2022-07-25,77767
2022-07-26,62322
2022-07-27,62659
2022-07-28,69659
2022-07-29,57778
2022-07-30,55289
2022-07-31,63183
2022-08-01,68727
2022-08-02,74334
2022-08-03,72809
2022-08-04,53647
2022-08-05,89747
2022-08-06,91473
2022-08-07,88629
2022-08-08,103756
2022-08-09,134856
2022-08-10,123226
2022-08-11,134762
2022-08-12,118660
2022-08-13,29813
2022-08-14,22671
2022-08-15,18341
2022-08-16,14616
2022-08-17,11427
2022-08-18,16703
2022-08-19,10989
2022-08-20,17251
2022-08-21,20968
2022-08-22,13249
2022-08-23,14045
2022-08-24,13598
2022-08-25,17944
2022-08-26,86559
2022-08-27,114821
2022-08-28,89385
2022-08-29,87489
2022-08-30,106211
2022-08-31,92920
2022-09-01,84745
2022-09-02,86010
2022-09-03,105478
2022-09-04,129544
2022-09-05,120165
2022-09-06,100047
2022-09-07,92885
2022-09-08,120963
2022-09-09,107493
2022-09-10,97374
2022-09-11,116321
2022-09-12,105488
2022-09-13,87666
2022-09-14,87047
2022-09-15,78212
2022-09-16,77807
2022-09-17,82448
2022-09-18,133156
2022-09-19,161998
2022-09-20,142298
2022-09-21,108106
2022-09-22,68922
2022-09-23,54147
2022-09-24,72691
2022-09-25,72354
2022-09-26,58779
2022-09-27,73231
2022-09-28,53697
2022-09-29,100440
2022-09-30,61940
2022-10-01,100277
2022-10-02,80560
2022-10-03,83699
2022-10-04,99136
2022-10-05,118015
2022-10-06,94388
2022-10-07,71084
2022-10-08,63193
2022-10-09,64780
2022-10-10,48227
2022-10-11,52129
2022-10-12,26257
2022-10-13,19469
2022-10-14,22669
2022-10-15,27502
2022-10-16,61623
2022-10-17,75694
2022-10-18,33518
2022-10-19,55984
2022-10-20,63264
2022-10-21,19509
2022-10-22,20633
2022-10-23,24122
2022-10-24,16745
2022-10-25,23674
2022-10-26,38667
2022-10-27,48504
2022-10-28,34889
2022-10-29,40588
2022-10-30,74032
2022-10-31,66457
2022-11-01,61773
2022-11-02,45842
2022-11-03,32075
2022-11-04,32016
2022-11-05,39436
2022-11-06,84987
2022-11-07,50200
2022-11-08,62769
2022-11-09,63688
2022-11-10,63829
2022-11-11,44754
2022-11-12,37796
2022-11-13,43987
2022-11-14,45479
2022-11-15,40908
2022-11-16,49767
2022-11-17,56708
2022-11-18,91287
2022-11-19,54146
2022-11-20,58121
2022-11-21,61232
2022-11-22,63271
2022-11-23,70836
2022-11-24,64517
2022-11-25,64358
2022-11-26,58697
2022-11-27,50766
2022-11-28,54373
2022-11-29,50188
2022-11-30,36290
2022-12-01,36760
2022-12-02,34121
2022-12-03,35159
2022-12-04,37259
2022-12-05,36993
2022-12-06,51028
2022-12-07,42299
2022-12-08,39843
2022-12-09,43256
2022-12-10,49872
2022-12-11,46505
2022-12-12,39585
2022-12-13,30135
2022-12-14,34592
2022-12-15,34681
2022-12-16,33083
2022-12-17,31342
2022-12-18,26562
2022-12-19,22119
2022-12-20,23183
2022-12-21,20108
2022-12-22,18793
2022-12-23,16431
2022-12-24,17075
2022-12-25,16881
2022-12-26,20798
2022-12-27,25612
2022-12-28,25070
2022-12-29,22686
2022-12-30,19555
2022-12-31,23887
2023-01-01,25451
2023-01-02,21871
2023-01-03,28045
2023-01-04,31426
2023-01-05,35156
2023-01-06,30881
2023-01-07,29980
2023-01-08,29092
2023-01-09,33687
2023-01-10,38209
2023-01-11,34486
2023-01-12,36539
2023-01-13,31826
2023-01-14,29354
2023-01-15,30277
2023-01-16,24114
2023-01-17,22497
2023-01-18,36816
2023-01-19,18850
2023-01-20,15411
2023-01-21,23006
2023-01-22,22257
2023-01-23,19413
2023-01-24,20392
2023-01-25,19793
2023-01-26,23358
2023-01-27,29541
2023-01-28,26580
2023-01-29,24459
2023-01-30,26401
2023-01-31,28053
2023-02-01,25138
2023-02-02,19939
2023-02-03,48309
2023-02-04,57526
2023-02-05,61022
2023-02-06,61822
2023-02-07,26224
2023-02-08,24975
2023-02-09,28476
2023-02-10,24834
2023-02-11,27249
2023-02-12,28076
2023-02-13,26542
2023-02-14,24477
2023-02-15,25137
2023-02-16,23645
2023-02-17,20195
2023-02-18,24079
2023-02-19,25884
2023-02-20,18755
2023-02-21,22528
2023-02-22,18026
2023-02-23,20873
2023-02-24,16639
2023-02-25,14482
2023-02-26,17726
2023-02-27,32823
2023-02-28,87649
2023-03-01,91367
2023-03-02,50625
2023-03-03,12823
2023-03-04,15866
2023-03-05,19175
2023-03-06,17065
2023-03-07,56023
2023-03-08,70632
2023-03-09,20629
2023-03-10,17595
2023-03-11,31142
2023-03-12,35195
2023-03-13,43031
2023-03-14,38135
2023-03-15,22214
2023-03-16,23075
2023-03-17,17173
2023-03-18,18978
2023-03-19,45343
2023-03-20,59259
2023-03-21,23662
2023-03-22,18075
2023-03-23,16319
2023-03-24,15612
2023-03-25,21229
2023-03-26,16080
2023-03-27,15622
2023-03-28,18645
2023-03-29,41238
2023-03-30,50490
2023-03-31,22014
